frame	3/pressure	2/pressure	1/pressure	
1	999.0461	1000.35895	998.5009	
2	999.0461	1000.35895	998.4539	
3	999.05396	1000.35895	998.4539	
4	999.05396	1000.35895	998.4539	
5	999.05396	1000.353	998.4747	
6	999.08777	1000.353	998.4747	
7	999.08777	1000.4106	998.40674	
8	999.1162	1000.4106	998.40674	
9	999.1162	1000.2789	998.4603	
10	999.03107	1000.2789	998.4603	
11	999.03107	1000.2789	998.5113	
12	999.03107	1000.2789	998.5113	
13	999.0555	1000.33356	998.5113	
14	999.0555	1000.33356	998.4204	
15	999.0848	1000.38086	998.4204	
16	999.0848	1000.38086	998.45935	
17	999.1165	1000.38086	998.45935	
18	999.1165	1000.33856	998.45935	
19	999.1277	1000.33856	998.49603	
20	999.1277	1000.33856	998.45325	
21	999.1277	1000.30914	998.45325	
22	999.1277	1000.30914	998.45325	
23	999.1277	1000.30914	998.45325	
24	999.1277	1000.31305	998.45325	
25	999.0403	1000.31305	998.45325	
26	999.0403	1000.31305	998.5181	
27	999.12366	1000.28345	998.5181	
28	999.12366	1000.28345	998.5181	
29	999.0777	1000.28345	998.4174	
30	999.0777	1000.37067	998.4174	
31	999.0777	1000.37067	998.5065	
32	999.0688	1000.34564	998.5065	
33	999.0688	1000.34564	998.40765	
34	999.03064	1000.34564	998.40765	
35	999.03064	1000.2618	998.3987	
36	998.937	1000.2618	998.3987	
37	998.937	1000.2618	998.4385	
38	998.937	1000.24005	998.4385	
39	998.937	1000.24005	998.4385	
40	999.0754	1000.24005	998.4282	
41	999.04407	1000.24005	998.4282	
42	999.04407	1000.438	998.4282	
43	999.04407	1000.438	998.3702	
44	999.0494	1000.438	998.3702	
45	999.0282	1000.44727	998.4971	
46	999.0282	1000.4161	998.3886	
47	999.0282	1000.4161	998.3886	
48	999.04865	1000.4161	998.3886	
49	999.04865	1000.4161	998.4539	
50	999.05255	1000.4161	998.4539	
51	999.05255	1000.2909	998.4409	
52	999.1822	1000.3537	998.4409	
53	999.1822	1000.3537	998.42377	
54	999.1822	1000.3537	998.42377	
55	999.1339	1000.3537	998.42377	
56	999.1339	1000.3537	998.4616	
57	999.0464	1000.3537	998.4616	
58	999.0464	1000.324	998.5482	
59	999.1158	1000.324	998.5482	
60	999.1158	1000.324	998.4996	
61	999.0576	1000.36566	998.4996	
62	999.0576	1000.36566	998.4996	
63	999.0576	1000.36566	998.4379	
64	999.00946	1000.3058	998.4379	
65	999.00946	1000.3058	998.3639	
66	999.0191	1000.3058	998.3639	
67	999.0191	1000.3075	998.42566	
68	999.0191	1000.3075	998.42566	
69	999.0708	1000.3075	998.42566	
70	999.0708	1000.3103	998.4336	
71	999.06946	1000.3103	998.4336	
72	999.06946	1000.3103	998.4898	
73	999.0429	1000.37286	998.4898	
74	999.0429	1000.37286	998.4898	
75	999.0429	1000.37286	998.41626	
76	999.05865	1000.32855	998.41626	
77	999.05865	1000.32855	998.42267	
78	999.09735	1000.37836	998.42267	
79	999.09735	1000.37836	998.42566	
80	999.09735	1000.37836	998.42566	
81	999.0443	1000.36566	998.4379	
82	999.0085	1000.36566	998.4379	
83	999.0085	1000.36566	998.4379	
