frame	3/pressure	2/pressure	0/pressure	4/pressure	
1	998.47626	998.8318	1000.473	999.1026	
2	998.5733	998.8318	1000.473	998.9533	
3	998.5733	998.8318	1000.473	998.9533	
4	998.49603	998.84216	1000.37616	999.0556	
5	998.49603	998.84216	1000.37616	999.0556	
6	998.49603	998.84216	1000.37616	999.02875	
7	998.49664	998.86426	1000.4144	999.02875	
8	998.49664	998.86426	1000.4144	998.9916	
9	998.57745	998.86426	1000.4058	998.9916	
10	998.57745	998.7946	1000.4058	998.9916	
11	998.43787	998.7946	1000.4058	998.9929	
12	998.43787	998.7946	1000.4206	998.9929	
13	998.5065	998.7537	1000.4206	999.1537	
14	998.5065	998.7537	1000.4206	999.1537	
15	998.5065	998.7537	1000.4443	999.0603	
16	998.50354	998.71765	1000.4443	999.0603	
17	998.50354	998.71765	1000.4443	999.05585	
18	998.50354	998.71765	1000.49866	999.05585	
19	998.60614	998.83826	1000.49866	999.05585	
20	998.5213	998.83826	1000.49866	999.0692	
21	998.5213	998.83826	1000.40784	999.0692	
22	998.5213	998.7788	1000.40784	998.99976	
23	998.52814	998.7788	1000.40784	998.99976	
24	998.52814	998.7788	1000.42725	999.0797	
25	998.5181	998.75305	1000.42725	999.0797	
26	998.5181	998.75305	1000.42725	999.0797	
27	998.5054	998.75305	1000.3891	998.9925	
28	998.5054	998.8515	1000.3891	998.9925	
29	998.5054	998.8515	1000.47064	999.0439	
30	998.506	998.8515	1000.47064	999.0439	
31	998.506	998.9111	1000.47064	998.98	
32	998.51355	998.9111	1000.47064	998.98	
33	998.51355	998.9111	1000.47064	998.98	
34	998.52496	998.8459	1000.47064	999.0325	
35	998.52496	998.8459	1000.47064	999.0325	
36	998.5482	998.8459	1000.47064	999.08344	
37	998.5482	998.83246	1000.47064	999.08344	
38	998.5482	998.83246	1000.47064	999.12885	
39	998.53406	998.83246	1000.47064	999.12885	
40	998.53406	998.9431	1000.47064	999.0391	
41	998.5628	998.9431	1000.47064	999.0391	
42	998.5628	998.9431	1000.47064	999.0391	
43	998.55414	998.89813	1000.47064	999.07794	
44	998.55414	998.89813	1000.47064	999.07794	
45	998.55414	998.89813	1000.47064	999.13354	
46	998.5099	998.80927	1000.47064	999.13354	
47	998.5099	998.80927	1000.47064	999.04553	
48	998.52356	998.80927	1000.47064	999.04553	
49	998.52356	998.86005	1000.47064	999.04553	
50	998.5284	998.86005	1000.47064	999.01605	
51	998.5284	998.86005	1000.47064	999.01605	
52	998.5284	998.78595	1000.47064	999.0477	
53	998.5482	998.78595	1000.47064	999.0477	
54	998.5482	998.78595	1000.47064	999.0273	
55	998.48663	998.887	1000.47064	999.0273	
56	998.48663	998.887	1000.47064	999.0018	
57	998.46906	998.887	1000.47064	999.0018	
58	998.46906	998.80865	1000.47064	999.0018	
59	998.46906	998.80865	1000.47064	999.0188	
60	998.6492	998.80865	1000.47064	999.0188	
61	998.6492	998.784	1000.47064	998.9744	
62	998.60803	998.784	1000.47064	998.9744	
63	998.60803	998.784	1000.47064	998.9905	
64	998.59143	998.8334	1000.47064	998.9905	
65	998.59143	998.8334	1000.47064	998.9905	
66	998.6272	998.8334	1000.47064	999.11896	
67	998.6272	998.8387	1000.47064	999.11896	
68	998.6272	998.8387	1000.47064	999.10565	
69	998.5927	998.8387	1000.47064	999.10565	
70	998.5927	998.77356	1000.47064	999.0261	
71	998.64594	998.77356	1000.47064	999.0261	
72	998.64594	998.77356	1000.47064	999.0261	
73	998.712	998.85767	1000.47064	999.0409	
74	998.712	998.85767	1000.47064	999.0409	
75	998.712	998.85767	1000.47064	999.06805	
76	998.5795	998.84296	1000.47064	999.06805	
77	998.5795	998.84296	1000.47064	998.9639	
78	998.56836	998.84296	1000.47064	998.9639	
79	998.56836	998.8594	1000.47064	998.97375	
80	998.49274	998.8594	1000.47064	998.97375	
81	998.49274	998.8594	1000.47064	998.97375	
82	998.56836	998.8597	1000.47064	999.00165	
83	998.56836	998.8597	1000.47064	999.00165	
84	998.56836	998.8597	1000.47064	999.0763	
85	998.56836	998.8323	1000.47064	999.0763	
86	998.56836	998.8323	1000.47064	999.0562	
87	998.56836	998.8323	1000.47064	999.0562	
88	998.54114	998.8646	1000.47064	999.0562	
89	998.54114	998.8646	1000.47064	999.1004	
90	998.63635	998.8646	1000.47064	999.1004	
91	998.63635	998.9135	1000.47064	999.0447	
92	998.63635	998.9135	1000.47064	999.0447	
93	998.5642	998.9135	1000.47064	999.03815	
94	998.5642	998.8836	1000.47064	999.03815	
95	998.6381	998.8836	1000.47064	999.03815	
96	998.6381	998.8836	1000.47064	999.0643	
97	998.56616	998.8474	1000.47064	999.0643	
98	998.56616	998.8474	1000.47064	999.03064	
99	998.63586	998.8474	1000.47064	999.03064	
100	998.63586	998.81287	1000.47064	998.9707	
101	998.63586	998.81287	1000.47064	998.9707	
102	998.5999	998.81287	1000.47064	999.0773	
103	998.5999	998.80505	1000.47064	999.0773	
104	998.5815	998.80505	1000.47064	999.0773	
105	998.5815	998.9149	1000.47064	999.0272	
106	998.5834	998.9149	1000.47064	999.0272	
107	998.5834	998.9149	1000.47064	999.0805	
108	998.5834	998.9149	1000.47064	999.0805	
109	998.59406	998.8074	1000.47064	999.07837	
110	998.59406	998.8074	1000.47064	999.07837	
111	998.5339	998.74817	1000.47064	999.07837	
112	998.5339	998.74817	1000.43774	999.05237	
113	998.54175	998.74817	1000.43774	999.05237	
114	998.54175	998.82153	1000.43774	999.1356	
115	998.6193	998.82153	1000.36505	999.1356	
116	998.6193	998.82153	1000.36505	999.0106	
117	998.6193	998.8112	1000.36505	999.0106	
118	998.6128	998.8112	1000.4106	999.0106	
119	998.6128	998.8112	1000.4106	999.074	
120	998.5377	998.83826	1000.4106	999.074	
121	998.5377	998.83826	1000.4814	999.1366	
122	998.66034	998.83826	1000.4814	999.1366	
123	998.66034	998.80054	1000.4814	999.13684	
124	998.66034	998.80054	1000.4507	999.13684	
125	998.53955	998.80054	1000.4507	999.10516	
126	998.53955	998.76556	1000.476	999.10516	
127	998.4945	998.76556	1000.476	999.0895	
128	998.4945	998.76556	1000.476	999.0895	
129	998.5054	998.81335	1000.5048	999.0895	
