time, pressure1, pressure2, pressure3, pressure4, pressure5, button, forceSensor
2020-10-06T17:04:34.0014,1234.696,1043.4624,1142.9031,1288.1604,993.436,0,1023.0
2020-10-06T17:04:34.0030,1234.696,1043.4624,1142.9031,1288.1604,993.436,0,1023.0
2020-10-06T17:04:34.0047,1235.4001,1043.4038,1142.8601,1288.2671,993.4369,0,1023.0
2020-10-06T17:04:34.0064,1235.4001,1043.4038,1142.8601,1288.2671,993.4369,0,1023.0
2020-10-06T17:04:34.0081,1235.4001,1043.4932,1142.8751,1288.2135,993.4369,0,1023.0
2020-10-06T17:04:34.0097,1235.5956,1043.4932,1142.8751,1288.2135,993.3702,0,1023.0
2020-10-06T17:04:34.0114,1235.5956,1043.4752,1142.8751,1288.2135,993.3702,0,1023.0
2020-10-06T17:04:34.0130,1235.4811,1043.4752,1142.7131,1288.2572,993.31104,0,1023.0
2020-10-06T17:04:34.0146,1235.4811,1043.4752,1142.7131,1288.2572,993.31104,0,1023.0
2020-10-06T17:04:34.0163,1235.5201,1043.4261,1142.828,1288.2112,993.37244,0,1023.0
2020-10-06T17:04:34.0180,1235.5201,1043.4261,1142.828,1288.2112,993.37244,0,1023.0
2020-10-06T17:04:34.0196,1235.5201,1043.4972,1142.9454,1288.2367,993.3127,0,1023.0
2020-10-06T17:04:34.0214,1235.2253,1043.4972,1142.9454,1288.2367,993.3127,0,1023.0
2020-10-06T17:04:34.0230,1235.2253,1043.4972,1142.8643,1288.2367,993.3127,0,1023.0
2020-10-06T17:04:34.0247,1234.7649,1043.5131,1142.8643,1288.3032,993.3922,0,1023.0
2020-10-06T17:04:34.0264,1234.7649,1043.5131,1142.8643,1288.3032,993.3922,0,1023.0
2020-10-06T17:04:34.0280,1234.7649,1043.5402,1142.9712,1288.1918,993.50433,0,1023.0
2020-10-06T17:04:34.0297,1234.3108,1043.5402,1142.9712,1288.1918,993.50433,0,1023.0
2020-10-06T17:04:34.0314,1234.3108,1043.5355,1142.8462,1288.2982,993.456,0,1023.0
2020-10-06T17:04:34.0330,1233.5302,1043.5355,1142.8462,1288.2982,993.456,0,1023.0
2020-10-06T17:04:34.0347,1233.5302,1043.5355,1142.9106,1288.2982,993.4427,0,1023.0
2020-10-06T17:04:34.0364,1232.883,1043.5468,1142.9106,1288.3853,993.4427,0,1023.0
2020-10-06T17:04:34.0380,1232.883,1043.5468,1142.999,1288.3853,993.4502,0,1023.0
2020-10-06T17:04:34.0396,1232.883,1043.5696,1142.999,1288.4192,993.4502,0,1023.0
2020-10-06T17:04:34.0413,1231.9617,1043.5696,1142.9625,1288.4192,993.4502,0,1023.0
2020-10-06T17:04:34.0430,1231.9617,1043.5187,1142.9625,1288.3966,993.3866,0,1023.0
2020-10-06T17:04:34.0447,1231.3815,1043.5187,1142.9663,1288.3966,993.3866,0,1023.0
2020-10-06T17:04:34.0462,1231.3815,1043.5187,1142.9663,1288.3966,993.3909,0,1023.0
2020-10-06T17:04:34.0481,1230.3666,1043.545,1142.9663,1288.2963,993.3909,0,1023.0
2020-10-06T17:04:34.0496,1230.3666,1043.545,1143.0149,1288.2963,993.35815,0,1023.0
2020-10-06T17:04:34.0515,1229.7694,1043.5109,1143.0149,1288.4059,993.35815,0,1023.0
2020-10-06T17:04:34.0530,1229.7694,1043.5109,1142.8354,1288.4059,993.3585,0,1023.0
2020-10-06T17:04:34.0546,1229.7694,1043.6335,1142.8354,1288.4078,993.3585,0,1023.0
2020-10-06T17:04:34.0562,1228.8182,1043.6335,1142.8905,1288.4078,993.3241,0,1023.0
2020-10-06T17:04:34.0581,1228.8182,1043.6335,1142.8905,1288.4078,993.3241,0,1023.0
2020-10-06T17:04:34.0596,1228.2767,1043.5767,1142.8214,1288.4235,993.35187,0,1023.0
2020-10-06T17:04:34.0614,1228.2767,1043.5767,1142.8214,1288.4235,993.35187,0,1023.0
2020-10-06T17:04:34.0630,1227.7449,1043.6027,1142.9338,1288.4425,993.35187,0,1023.0
2020-10-06T17:04:34.0647,1227.7449,1043.6027,1142.9338,1288.4425,993.3912,0,1023.0
